Unnamed: 0,id,trove_api_url,trove_url,trove_page_url,trove_pdf_url,heading,title,trove_title_url,trove_api_title_url,identifier,date,page,page_sequence,page_label,supplement,section,edition,spatial,illustrated,extent,type,abstract,placenames,NOTES
903,13268884,https://api.trove.nla.gov.au/v3/newspaper/13268884,https://nla.gov.au/nla.news-article13268884,https://nla.gov.au/nla.news-page840551,https://trove.nla.gov.au/ndp/imageservice/nla.news-page840551/print,STARTLING EPISODE AT THE RELIEF RESTAURANT. SPIRITUALISTIC MANIFESTATIONS. DISCOVERY OF REMAINS UNDBR A HEARTHSTONE.,"The Mercury (Hobart, Tas. : 1860 - 1954)",https://nla.gov.au/nla.news-title10,https://api.trove.nla.gov.au/v3/newspaper/title/10,10399992;issn,1893-09-12,2,2,,,,,Tasmania,N,1612 words,Article,"It is highly desirable that ghosts should occasionally vindicate their existence by putting in an appearance. Their popularity in the eyes of spiritualists, clairvoyants,","Old Nurses Home, Liverpool St, Tas",
1098,233102548,https://api.trove.nla.gov.au/v3/newspaper/233102548,https://nla.gov.au/nla.news-article233102548,https://nla.gov.au/nla.news-page25218716,https://trove.nla.gov.au/ndp/imageservice/nla.news-page25218716/print|https://trove.nla.gov.au/ndp/imageservice/nla.news-page25218717/print,TALES AND  SKETCHES. GHOSTS IN AUSTRALIA.,"Weekly Examiner (Launceston, Tas. : 1872 - 1878)",https://nla.gov.au/nla.news-title1266,https://api.trove.nla.gov.au/v3/newspaper/title/1266,22068538;issn,1873-03-08,1,1,,,,,Tasmania,N,3549 words,Article,"In the spring of 185—, I was employed driving a numerous herd of store-cattle [?]m New England down into the Melbourne country. The grass was plentiful,","Deniliquin, NSW",
1225,153553247,https://api.trove.nla.gov.au/v3/newspaper/153553247,https://nla.gov.au/nla.news-article153553247,https://nla.gov.au/nla.news-page18387372,https://trove.nla.gov.au/ndp/imageservice/nla.news-page18387372/print,"STRANGE APPARITION AND DISCOVERY. HOBART, SEPTEMBER 11.","Daily Telegraph (Launceston, Tas. : 1883 - 1928)",https://nla.gov.au/nla.news-title742,https://api.trove.nla.gov.au/v3/newspaper/title/742,22029117;issn,1893-09-12,2,2,,,,,Tasmania,N,307 words,Article,"During the time the premises now used as a soup restaurant opposite the General Hospital were occupied by the hospital nurses, some strange stories were told from","Old Nurses Home, Liverpool St, Tas",
1281,177546933,https://api.trove.nla.gov.au/v3/newspaper/177546933,https://nla.gov.au/nla.news-article177546933,https://nla.gov.au/nla.news-page20124887,https://trove.nla.gov.au/ndp/imageservice/nla.news-page20124887/print,AN APPARITION  OF THE NIGHT. IS IT A WOMAN? IN A BURIAL GROUND. STARTLES TWO PEDESTRIANS.,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",https://nla.gov.au/nla.news-title866,https://api.trove.nla.gov.au/v3/newspaper/title/866,22037098;issn,1896-07-14,2,2 S,,,,SECOND EDITION,Tasmania,N,321 words,Article,"The ramifications of the gentleman who has been paying the part of an apparition of that not too well-known region, the Astral Place, are fat and wide. Any","Hobart, Tas","Could the Hobart ""Ghost"" be a woman?"
3994,39461246,https://api.trove.nla.gov.au/v3/newspaper/39461246,https://nla.gov.au/nla.news-article39461246,https://nla.gov.au/nla.news-page2945508,https://trove.nla.gov.au/ndp/imageservice/nla.news-page2945508/print,GHOSTE AT DINHAM VILLA.,Launceston Examiner (Tas. : 1842 - 1899),https://nla.gov.au/nla.news-title74,https://api.trove.nla.gov.au/v3/newspaper/title/74,18368204;issn,1892-03-30,3,3,,,,,Tasmania,N,40 words,Article,The policemen detailed at Rainhill for the special duty of guarding Dinbam Villa at night heard mysterious noises in the house. Believing that ghosts; were,"Launceston, Tas",
4778,8871769,https://api.trove.nla.gov.au/v3/newspaper/8871769,https://nla.gov.au/nla.news-article8871769,https://nla.gov.au/nla.news-page785404,https://trove.nla.gov.au/ndp/imageservice/nla.news-page785404/print,"GHOSTS. [A CORRESPONDENT SENDS US (BRISBANE COURIER) THE FOLLOWING, AND VOUCHES FOR THE ACCURACY OF THE STATEMENT OF FACTS THEREIN CONTAINED.]","The Mercury (Hobart, Tas. : 1860 - 1954)",https://nla.gov.au/nla.news-title10,https://api.trove.nla.gov.au/v3/newspaper/title/10,10399992;issn,1870-10-19,3,3,,,,,Tasmania,N,647 words,Article,"Allow me to introduce the dramatis personœ: —Myself, a youth of twenty summers, an utter disbeliever in ghosts; Mr. H., a gentleman in business in Sydney; Mrs. H., wife of same, a","Brisbane, Qld",
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
